,School Name,School District,Street Address,Grades Served,Overall Rating
2652,Foster Elem,Riesel ISD,"200 N Williams St, Riesel, TX 76682",Prekindergarten - Grade 6,A
2653,Foster Elem,Arlington ISD,"1025 High Point Rd, Arlington, TX 76015",Prekindergarten - Grade 6,B
2654,Foster HS,Lamar CISD,"4400 FM 723, Richmond, TX 77406",Grade 9 - Grade 12,A
2655,Foster MS,Longview ISD,"1504 Mlk, Longview, TX 75602",Grade 6 - Grade 8,B
2656,Foster Village Elem,Birdville ISD,"6800 Springdale Ln, North Richland Hills, TX 76180",Prekindergarten - Grade 5,B
2657,Foundation School of Autism - San Antonio,Premier High Schools,"2235 Thousand Oaks Ste 130, San Antonio, TX 78232",Early Education - Grade 1,Not Rated
2658,Founders Classical Academy,Texas College Preparatory Academies,"1010 Bellaire Blvd, Lewisville, TX 75067",Kindergarten - Grade 12,A
2659,Founders Classical Academy - Conroe,Texas College Preparatory Academies,"15330 Brass Nail Rd, Conroe, TX 77384",Kindergarten - Grade 2,Not Rated
2660,Founders Classical Academy - Frisco,Texas College Preparatory Academies,"10710 Frisco St, Frisco, TX 75034",Kindergarten - Grade 11,A
2661,Founders Classical Academy Corinth,Texas College Preparatory Academies,"800 Point Vista Rd, Corinth, TX 76210",Kindergarten - Grade 6,B
2662,Founders Classical Academy Corinth - Upper School,Texas College Preparatory Academies,"3600 Meadowview Dr, Corinth, TX 75065",Grade 7 - Grade 12,B
2663,Founders Classical Academy of Flower Mound,Texas College Preparatory Academies,"4901 Cross Timbers Rd, Flower Mound, TX 75028",Kindergarten - Grade 11,A
2664,Founders Classical Academy of Leander,Texas College Preparatory Academies,"1303 Leander Dr, Leander, TX 78641",Kindergarten - Grade 12,B
2665,Founders Classical Academy of Mesquite,Texas College Preparatory Academies,"790 Windbell Cir Bldg 1-11, Mesquite, TX 75149",Kindergarten - Grade 12,C
2666,Founders Classical Academy of Prosper,Texas College Preparatory Academies,"4300 E First St, Prosper, TX 75058",Kindergarten - Grade 8,B
2667,Founders Classical Academy of Schertz,Texas College Preparatory Academies,"8453 E FM 1518 N, Schertz, TX 78154",Kindergarten - Grade 12,C
2668,Founders Classical Academy- Carrollton,Texas College Preparatory Academies,"2400 N Josey Ln, Carrollton, TX 75006",Kindergarten - Grade 11,C
